variation_id,run_number,crn_seed,final_status,years_survived,final_population,final_resources,final_health,distance_covered,disease_outbreaks,overcrowding_events,critical_rationing,normal_rationing,min_resources,max_resources,mean_resources,std_resources,total_weight,initial_population,ship_capacity,initial_resources,birth_rate,death_rate,resource_gen_rate,lightspeed_fraction,health_index,diff_initial_population,diff_ship_capacity,diff_initial_resources,diff_birth_rate,diff_death_rate,diff_resource_gen_rate,diff_lightspeed_fraction,diff_health_index
base,73,115,Success,720,1,148.57724360615316,107.80000000000001,40161613694976.07,42,2,100,169,148.57724360615316,88591.5852214924,16366.976481425776,21165.838625110315,68866.97648142578,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,74,116,Success,720,23,2468.6208384840756,107.80000000000001,40161613694976.07,32,2,81,199,1412.270863463431,87361.9639919076,19945.658577617236,15831.935753762189,72445.65857761723,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,75,117,Success,720,2,270.67026571370417,107.80000000000001,40161613694976.07,38,2,98,169,248.15458096720036,89688.25962325276,12928.482637769164,19111.59155024404,65428.482637769164,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,76,118,Success,720,12,1683.8325813688296,107.80000000000001,40161613694976.07,40,2,96,197,732.5023924163866,82793.2625111881,16705.51784004385,22194.760925172166,69205.51784004385,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,77,119,Success,720,3,343.884681662954,107.80000000000001,40161613694976.07,30,2,95,197,331.3609543109944,98287.30645321507,17804.41556082335,21723.470003047863,70304.41556082334,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,78,120,Success,720,10,1283.857450385911,107.80000000000001,40161613694976.07,40,2,96,192,587.7137212233222,96592.1654571777,19054.177601206437,23195.22211083074,71554.17760120644,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,79,121,Success,720,6,727.132446498974,107.80000000000001,40161613694976.07,34,2,96,188,612.1819752470988,88198.88323277938,13303.98494740686,17874.500809336634,65803.98494740686,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,80,122,Success,720,4,304.792670537071,107.80000000000001,40161613694976.07,43,2,102,149,304.792670537071,88786.00115719071,12705.670014325597,17808.58023827612,65205.670014325595,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,81,123,Success,720,5,526.186026091462,107.80000000000001,40161613694976.07,29,2,91,196,417.4093291022793,91501.59451948645,15050.921741226888,18143.590202178162,67550.92174122689,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,82,124,Success,720,11,1336.541941096575,107.80000000000001,40161613694976.07,39,2,92,174,987.8026690761512,87523.00357025825,19977.920975469497,21440.662196088208,72477.92097546949,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
