ship_capacity,initial_resources,resource_gen_rate,weight_mean,weight_std,success_rate,avg_resources_mean,avg_resources_std,final_pop_mean,final_pop_std,efficiency_ratio
1100,105000,104.0,95729.85,10314.69,100.0,40729.85,10314.69,123.61,93.29,0.0010446062539531816
1100,105000,105.0,120709.57,13590.08,100.0,65709.57,13590.08,401.34,224.91,0.0008284347297401523
1100,110000,95.0,68040.61,1509.51,0.0,13040.61,1509.51,0.0,0.0,0.0
1100,110000,96.0,68340.16,1632.32,0.0,13340.16,1632.32,0.0,0.0,0.0
1100,110000,97.0,68453.25,1746.5,0.0,13453.25,1746.5,0.0,0.0,0.0
1100,110000,98.0,68885.75,1885.83,0.0,13885.75,1885.83,0.0,0.0,0.0
1100,110000,99.0,69058.72,2117.73,0.0,14058.72,2117.73,0.0,0.0,0.0
1100,110000,100.0,68966.05,2232.0,1.0,13966.05,2232.0,0.03,0.3,1.449988798836529e-05
1100,110000,101.0,69496.12,2435.17,26.0,14496.12,2435.17,1.02,2.97,0.00037412160563783995
1100,110000,102.0,72791.52,3611.49,88.0,17791.52,3611.49,7.84,6.56,0.001208932029445188
1100,110000,103.0,80633.98,6235.17,100.0,25633.98,6235.17,31.22,22.32,0.0012401719473601578
1100,110000,104.0,95678.61,10492.28,100.0,40678.61,10492.28,123.73,94.28,0.001045165685412863
1100,110000,105.0,120856.67,13499.85,100.0,65856.67,13499.85,400.24,222.77,0.0008274264051789612
1100,115000,95.0,68079.61,1509.2,0.0,13079.61,1509.2,0.0,0.0,0.0
1100,115000,96.0,68354.49,1614.28,0.0,13354.49,1614.28,0.0,0.0,0.0
1100,115000,97.0,68505.32,1730.52,0.0,13505.32,1730.52,0.0,0.0,0.0
1100,115000,98.0,68930.0,1886.5,0.0,13930.0,1886.5,0.0,0.0,0.0
1100,115000,99.0,69118.84,2074.68,0.0,14118.84,2074.68,0.0,0.0,0.0
1100,115000,100.0,68953.39,2211.73,1.0,13953.39,2211.73,0.03,0.3,1.4502550200940085e-05
1100,115000,101.0,69560.89,2444.27,28.0,14560.89,2444.27,1.09,2.86,0.00040252503957324294
